Designator,Mid X,Mid Y,Rotation,Layer
A1,66.03,-74.106343,180.0,bottom
C1,54.863837,-99.7585,270.0,bottom
C2,54.863837,-64.1985,90.0,bottom
C3,58.419837,-99.7585,270.0,bottom
C4,77.215837,-64.1985,90.0,bottom
C5,73.659837,-99.7585,270.0,bottom
C6,73.953237,-104.8385,0.0,bottom
C7,77.215837,-99.7585,270.0,bottom
D1,73.665,-136.336343,0.0,top
D2,64.515837,-147.7645,90.0,bottom
D3,67.563837,-147.7645,90.0,bottom
D4,67.563837,-122.3645,90.0,bottom
D5,67.563837,-135.0645,90.0,bottom
D6,64.515837,-135.0645,90.0,bottom
D7,64.515837,-122.3645,90.0,bottom
J3,66.039837,-112.2045,270.0,top
J6,58.419837,-149.2922,270.0,top
J7,73.659837,-123.8922,270.0,top
J8,58.419837,-123.8795,270.0,top
J9,73.659837,-149.2922,270.0,top
Q1,57.911837,-104.6905,180.0,bottom
R1,77.215837,-71.5645,90.0,bottom
R10,73.913837,-132.2705,0.0,bottom
R11,77.215837,-92.1385,270.0,bottom
R12,58.165837,-132.2705,180.0,bottom
R13,78.231837,-112.2045,90.0,bottom
R2,54.863837,-56.8325,270.0,bottom
R3,77.215837,-56.8325,270.0,bottom
R4,53.847837,-112.2045,270.0,bottom
R5,54.863837,-91.8845,90.0,bottom
R6,54.863837,-81.7245,90.0,bottom
R7,77.215837,-81.7245,90.0,bottom
R8,58.165837,-140.9065,180.0,bottom
R9,54.863837,-71.5645,270.0,bottom
RV1,66.044602,-79.121343,180.0,top
RV2,66.042589,-58.31875,180.0,top
RV3,66.042589,-99.43765,180.0,top
